unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
817219,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,503.0,Willowbrook,2010,2010-01-01,1.7,per square mile,2010,Annual vehicle miles traveled (trucks),Willowbrook,
817178,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,302.0,Central Harlem - Morningside Heights,2019,2019-01-01,4.4,per square mile,2019,Annual vehicle miles traveled (trucks),Central Harlem - Morningside Heights,
817213,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,410.0,Rockaways,2010,2010-01-01,0.4,per square mile,2010,Annual vehicle miles traveled (trucks),Rockaways,
817194,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,310.0,Lower Manhattan,2019,2019-01-01,3.4,per square mile,2019,Annual vehicle miles traveled (trucks),Lower Manhattan,
817149,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,106.0,High Bridge - Morrisania,2010,2010-01-01,7.7,per square mile,2010,Annual vehicle miles traveled (trucks),High Bridge - Morrisania,
817214,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,410.0,Rockaways,2019,2019-01-01,0.6,per square mile,2019,Annual vehicle miles traveled (trucks),Rockaways,
817193,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,310.0,Lower Manhattan,2010,2010-01-01,3.0,per square mile,2010,Annual vehicle miles traveled (trucks),Lower Manhattan,
817170,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,209.0,Bensonhurst - Bay Ridge,2019,2019-01-01,3.1,per square mile,2019,Annual vehicle miles traveled (trucks),Bensonhurst - Bay Ridge,
817192,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,309.0,Union Square - Lower East Side,2019,2019-01-01,6.7,per square mile,2019,Annual vehicle miles traveled (trucks),Union Square - Lower East Side,
817275,645,Annual vehicle miles traveled (trucks),Million miles,CD,302.0,Fort Greene and Brooklyn Heights (CD2),2010,2010-01-01,7.6,per square mile,2010,Annual vehicle miles traveled (trucks),Fort Greene and Brooklyn Heights (CD2),
817251,645,Annual vehicle miles traveled (trucks),Million miles,CD,202.0,Hunts Point and Longwood (CD2),2010,2010-01-01,2.3,per square mile,2010,Annual vehicle miles traveled (trucks),Hunts Point and Longwood (CD2),
817252,645,Annual vehicle miles traveled (trucks),Million miles,CD,202.0,Hunts Point and Longwood (CD2),2019,2019-01-01,3.4,per square mile,2019,Annual vehicle miles traveled (trucks),Hunts Point and Longwood (CD2),
817309,645,Annual vehicle miles traveled (trucks),Million miles,CD,401.0,Long Island City and Astoria (CD1),2010,2010-01-01,2.1,per square mile,2010,Annual vehicle miles traveled (trucks),Long Island City and Astoria (CD1),
817310,645,Annual vehicle miles traveled (trucks),Million miles,CD,401.0,Long Island City and Astoria (CD1),2019,2019-01-01,3.5,per square mile,2019,Annual vehicle miles traveled (trucks),Long Island City and Astoria (CD1),
817274,645,Annual vehicle miles traveled (trucks),Million miles,CD,301.0,Greenpoint and Williamsburg (CD1),2019,2019-01-01,6.2,per square mile,2019,Annual vehicle miles traveled (trucks),Greenpoint and Williamsburg (CD1),
817276,645,Annual vehicle miles traveled (trucks),Million miles,CD,302.0,Fort Greene and Brooklyn Heights (CD2),2019,2019-01-01,9.1,per square mile,2019,Annual vehicle miles traveled (trucks),Fort Greene and Brooklyn Heights (CD2),
817311,645,Annual vehicle miles traveled (trucks),Million miles,CD,402.0,Woodside and Sunnyside (CD2),2010,2010-01-01,5.9,per square mile,2010,Annual vehicle miles traveled (trucks),Woodside and Sunnyside (CD2),
817340,645,Annual vehicle miles traveled (trucks),Million miles,CD,502.0,South Beach and Willowbrook (CD2),2019,2019-01-01,1.8,per square mile,2019,Annual vehicle miles traveled (trucks),South Beach and Willowbrook (CD2),
817197,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,402.0,West Queens,2010,2010-01-01,4.8,per square mile,2010,Annual vehicle miles traveled (trucks),West Queens,
817293,645,Annual vehicle miles traveled (trucks),Million miles,CD,311.0,Bensonhurst (CD11),2010,2010-01-01,1.0,per square mile,2010,Annual vehicle miles traveled (trucks),Bensonhurst (CD11),
817330,645,Annual vehicle miles traveled (trucks),Million miles,CD,411.0,Bayside and Little Neck (CD11),2019,2019-01-01,4.9,per square mile,2019,Annual vehicle miles traveled (trucks),Bayside and Little Neck (CD11),
817269,645,Annual vehicle miles traveled (trucks),Million miles,CD,211.0,Morris Park and Bronxdale (CD11),2010,2010-01-01,1.0,per square mile,2010,Annual vehicle miles traveled (trucks),Morris Park and Bronxdale (CD11),
817266,645,Annual vehicle miles traveled (trucks),Million miles,CD,209.0,Parkchester and Soundview (CD9),2019,2019-01-01,6.3,per square mile,2019,Annual vehicle miles traveled (trucks),Parkchester and Soundview (CD9),
817265,645,Annual vehicle miles traveled (trucks),Million miles,CD,209.0,Parkchester and Soundview (CD9),2010,2010-01-01,5.0,per square mile,2010,Annual vehicle miles traveled (trucks),Parkchester and Soundview (CD9),
817289,645,Annual vehicle miles traveled (trucks),Million miles,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),2010,2010-01-01,1.0,per square mile,2010,Annual vehicle miles traveled (trucks),South Crown Heights and Lefferts Gardens (CD9),
817290,645,Annual vehicle miles traveled (trucks),Million miles,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),2019,2019-01-01,2.0,per square mile,2019,Annual vehicle miles traveled (trucks),South Crown Heights and Lefferts Gardens (CD9),
817242,645,Annual vehicle miles traveled (trucks),Million miles,CD,109.0,Morningside Heights and Hamilton Heights (CD9),2019,2019-01-01,6.7,per square mile,2019,Annual vehicle miles traveled (trucks),Morningside Heights and Hamilton Heights (CD9),
817241,645,Annual vehicle miles traveled (trucks),Million miles,CD,109.0,Morningside Heights and Hamilton Heights (CD9),2010,2010-01-01,4.7,per square mile,2010,Annual vehicle miles traveled (trucks),Morningside Heights and Hamilton Heights (CD9),
817270,645,Annual vehicle miles traveled (trucks),Million miles,CD,211.0,Morris Park and Bronxdale (CD11),2019,2019-01-01,1.4,per square mile,2019,Annual vehicle miles traveled (trucks),Morris Park and Bronxdale (CD11),
817329,645,Annual vehicle miles traveled (trucks),Million miles,CD,411.0,Bayside and Little Neck (CD11),2010,2010-01-01,3.9,per square mile,2010,Annual vehicle miles traveled (trucks),Bayside and Little Neck (CD11),
817145,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,104.0,Pelham - Throgs Neck,2010,2010-01-01,4.1,per square mile,2010,Annual vehicle miles traveled (trucks),Pelham - Throgs Neck,
817173,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,211.0,Williamsburg - Bushwick,2010,2010-01-01,0.8,per square mile,2010,Annual vehicle miles traveled (trucks),Williamsburg - Bushwick,
817174,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,211.0,Williamsburg - Bushwick,2019,2019-01-01,1.9,per square mile,2019,Annual vehicle miles traveled (trucks),Williamsburg - Bushwick,
817182,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,304.0,Upper West Side,2019,2019-01-01,8.9,per square mile,2019,Annual vehicle miles traveled (trucks),Upper West Side,
817299,645,Annual vehicle miles traveled (trucks),Million miles,CD,314.0,Flatbush and Midwood (CD14),2010,2010-01-01,1.5,per square mile,2010,Annual vehicle miles traveled (trucks),Flatbush and Midwood (CD14),
817300,645,Annual vehicle miles traveled (trucks),Million miles,CD,314.0,Flatbush and Midwood (CD14),2019,2019-01-01,1.9,per square mile,2019,Annual vehicle miles traveled (trucks),Flatbush and Midwood (CD14),
817321,645,Annual vehicle miles traveled (trucks),Million miles,CD,407.0,Flushing and Whitestone (CD7),2010,2010-01-01,2.3,per square mile,2010,Annual vehicle miles traveled (trucks),Flushing and Whitestone (CD7),
817262,645,Annual vehicle miles traveled (trucks),Million miles,CD,207.0,Kingsbridge Heights and Bedford (CD7),2019,2019-01-01,5.5,per square mile,2019,Annual vehicle miles traveled (trucks),Kingsbridge Heights and Bedford (CD7),
817202,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,404.0,Bayside - Little Neck,2019,2019-01-01,4.9,per square mile,2019,Annual vehicle miles traveled (trucks),Bayside - Little Neck,
817171,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,210.0,Coney Island - Sheepshead Bay,2010,2010-01-01,0.7,per square mile,2010,Annual vehicle miles traveled (trucks),Coney Island - Sheepshead Bay,
817172,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,210.0,Coney Island - Sheepshead Bay,2019,2019-01-01,1.1,per square mile,2019,Annual vehicle miles traveled (trucks),Coney Island - Sheepshead Bay,
817185,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,306.0,Chelsea - Clinton,2010,2010-01-01,8.5,per square mile,2010,Annual vehicle miles traveled (trucks),Chelsea - Clinton,
817205,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,406.0,Fresh Meadows,2010,2010-01-01,4.1,per square mile,2010,Annual vehicle miles traveled (trucks),Fresh Meadows,
817318,645,Annual vehicle miles traveled (trucks),Million miles,CD,405.0,Ridgewood and Maspeth (CD5),2019,2019-01-01,2.5,per square mile,2019,Annual vehicle miles traveled (trucks),Ridgewood and Maspeth (CD5),
817282,645,Annual vehicle miles traveled (trucks),Million miles,CD,305.0,East New York and Starrett City (CD5),2019,2019-01-01,2.1,per square mile,2019,Annual vehicle miles traveled (trucks),East New York and Starrett City (CD5),
817161,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,205.0,Sunset Park,2010,2010-01-01,4.7,per square mile,2010,Annual vehicle miles traveled (trucks),Sunset Park,
817220,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,503.0,Willowbrook,2019,2019-01-01,2.2,per square mile,2019,Annual vehicle miles traveled (trucks),Willowbrook,
817283,645,Annual vehicle miles traveled (trucks),Million miles,CD,306.0,Park Slope and Carroll Gardens (CD6),2010,2010-01-01,3.4,per square mile,2010,Annual vehicle miles traveled (trucks),Park Slope and Carroll Gardens (CD6),
817246,645,Annual vehicle miles traveled (trucks),Million miles,CD,111.0,East Harlem (CD11),2019,2019-01-01,7.7,per square mile,2019,Annual vehicle miles traveled (trucks),East Harlem (CD11),
817325,645,Annual vehicle miles traveled (trucks),Million miles,CD,409.0,Kew Gardens and Woodhaven (CD9),2010,2010-01-01,2.3,per square mile,2010,Annual vehicle miles traveled (trucks),Kew Gardens and Woodhaven (CD9),
817326,645,Annual vehicle miles traveled (trucks),Million miles,CD,409.0,Kew Gardens and Woodhaven (CD9),2019,2019-01-01,3.0,per square mile,2019,Annual vehicle miles traveled (trucks),Kew Gardens and Woodhaven (CD9),
817245,645,Annual vehicle miles traveled (trucks),Million miles,CD,111.0,East Harlem (CD11),2010,2010-01-01,4.6,per square mile,2010,Annual vehicle miles traveled (trucks),East Harlem (CD11),
817216,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,501.0,Port Richmond,2019,2019-01-01,1.4,per square mile,2019,Annual vehicle miles traveled (trucks),Port Richmond,
817139,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,101.0,Kingsbridge - Riverdale,2010,2010-01-01,4.8,per square mile,2010,Annual vehicle miles traveled (trucks),Kingsbridge - Riverdale,
817175,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,301.0,Washington Heights,2010,2010-01-01,5.3,per square mile,2010,Annual vehicle miles traveled (trucks),Washington Heights,
817176,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,301.0,Washington Heights,2019,2019-01-01,8.0,per square mile,2019,Annual vehicle miles traveled (trucks),Washington Heights,
