unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
816751,643,Annual vehicle miles traveled,Million miles,CD,308.0,Crown Heights and Prospect Heights (CD8),2019,2019-01-01,88.1,per square mile,2019,Annual vehicle miles traveled,Crown Heights and Prospect Heights (CD8),
154591,643,Annual vehicle miles traveled,Million miles,CD,308.0,Crown Heights and Prospect Heights (CD8),2005,2005-01-01,72.1,per square mile,2005,Annual vehicle miles traveled,Crown Heights and Prospect Heights (CD8),
816856,643,Annual vehicle miles traveled,Million miles,UHF42,305.0,Upper East Side,2010,2010-01-01,129.3,per square mile,2010,Annual vehicle miles traveled,Upper East Side,
816898,643,Annual vehicle miles traveled,Million miles,UHF42,102.0,Northeast Bronx,2010,2010-01-01,43.0,per square mile,2010,Annual vehicle miles traveled,Northeast Bronx,
816883,643,Annual vehicle miles traveled,Million miles,UHF42,202.0,Downtown - Heights - Slope,2019,2019-01-01,126.8,per square mile,2019,Annual vehicle miles traveled,Downtown - Heights - Slope,
816862,643,Annual vehicle miles traveled,Million miles,UHF42,302.0,Central Harlem - Morningside Heights,2010,2010-01-01,95.5,per square mile,2010,Annual vehicle miles traveled,Central Harlem - Morningside Heights,
816715,643,Annual vehicle miles traveled,Million miles,CD,412.0,Jamaica and Hollis (CD12),2010,2010-01-01,44.4,per square mile,2010,Annual vehicle miles traveled,Jamaica and Hollis (CD12),
816716,643,Annual vehicle miles traveled,Million miles,CD,412.0,Jamaica and Hollis (CD12),2019,2019-01-01,39.3,per square mile,2019,Annual vehicle miles traveled,Jamaica and Hollis (CD12),
816768,643,Annual vehicle miles traveled,Million miles,CD,212.0,Williamsbridge and Baychester (CD12),2010,2010-01-01,48.2,per square mile,2010,Annual vehicle miles traveled,Williamsbridge and Baychester (CD12),
816767,643,Annual vehicle miles traveled,Million miles,CD,212.0,Williamsbridge and Baychester (CD12),2019,2019-01-01,54.8,per square mile,2019,Annual vehicle miles traveled,Williamsbridge and Baychester (CD12),
154613,643,Annual vehicle miles traveled,Million miles,CD,412.0,Jamaica and Hollis (CD12),2005,2005-01-01,41.6,per square mile,2005,Annual vehicle miles traveled,Jamaica and Hollis (CD12),
154583,643,Annual vehicle miles traveled,Million miles,CD,212.0,Williamsbridge and Baychester (CD12),2005,2005-01-01,43.6,per square mile,2005,Annual vehicle miles traveled,Williamsbridge and Baychester (CD12),
154581,643,Annual vehicle miles traveled,Million miles,CD,210.0,Throgs Neck and Co-op City (CD10),2005,2005-01-01,43.8,per square mile,2005,Annual vehicle miles traveled,Throgs Neck and Co-op City (CD10),
154611,643,Annual vehicle miles traveled,Million miles,CD,410.0,South Ozone Park and Howard Beach (CD10),2005,2005-01-01,55.6,per square mile,2005,Annual vehicle miles traveled,South Ozone Park and Howard Beach (CD10),
154571,643,Annual vehicle miles traveled,Million miles,CD,112.0,Washington Heights and Inwood (CD12),2005,2005-01-01,90.9,per square mile,2005,Annual vehicle miles traveled,Washington Heights and Inwood (CD12),
151661,643,Annual vehicle miles traveled,Million miles,UHF42,501.0,Port Richmond,2005,2005-01-01,17.6,per square mile,2005,Annual vehicle miles traveled,Port Richmond,
816864,643,Annual vehicle miles traveled,Million miles,UHF42,301.0,Washington Heights,2010,2010-01-01,115.9,per square mile,2010,Annual vehicle miles traveled,Washington Heights,
151670,643,Annual vehicle miles traveled,Million miles,Borough,5.0,Staten Island,2005,2005-01-01,20.8,per square mile,2005,Annual vehicle miles traveled,Staten Island,
154597,643,Annual vehicle miles traveled,Million miles,CD,314.0,Flatbush and Midwood (CD14),2005,2005-01-01,66.4,per square mile,2005,Annual vehicle miles traveled,Flatbush and Midwood (CD14),
154578,643,Annual vehicle miles traveled,Million miles,CD,207.0,Kingsbridge Heights and Bedford (CD7),2005,2005-01-01,73.4,per square mile,2005,Annual vehicle miles traveled,Kingsbridge Heights and Bedford (CD7),
816719,643,Annual vehicle miles traveled,Million miles,CD,414.0,Rockaway and Broad Channel (CD14),2010,2010-01-01,16.9,per square mile,2010,Annual vehicle miles traveled,Rockaway and Broad Channel (CD14),
816880,643,Annual vehicle miles traveled,Million miles,UHF42,204.0,East New York,2010,2010-01-01,47.5,per square mile,2010,Annual vehicle miles traveled,East New York,
816894,643,Annual vehicle miles traveled,Million miles,UHF42,104.0,Pelham - Throgs Neck,2010,2010-01-01,59.7,per square mile,2010,Annual vehicle miles traveled,Pelham - Throgs Neck,
816802,643,Annual vehicle miles traveled,Million miles,CD,107.0,Upper West Side (CD7),2010,2010-01-01,127.1,per square mile,2010,Annual vehicle miles traveled,Upper West Side (CD7),
